date,home_team,away_team,home_ML,away_ML,home_Sim_Prob,away_Sim_Prob,home_win,away_win
"Tue, Dec 17, 2019",Indiana Pacers,Los Angeles Lakers,160,-180,0.3775,0.6225,1,0
"Tue, Dec 17, 2019",New York Knicks,Atlanta Hawks,-127,107,0.1407,0.8593,1,0
"Tue, Dec 17, 2019",New Orleans Pelicans,Brooklyn Nets,120,-140,0.5981,0.4019,0,1
"Tue, Dec 17, 2019",Utah Jazz,Orlando Magic,-275,225,0.5909,0.4091,1,0
"Tue, Dec 17, 2019",Los Angeles Clippers,Phoenix Suns,-1100,700,0.472,0.528,1,0
"Wed, Dec 18, 2019",Cleveland Cavaliers,Charlotte Hornets,-130,110,0.6326,0.3674,1,0
"Wed, Dec 18, 2019",Detroit Pistons,Toronto Raptors,105,-125,0.7173,0.2827,0,1
"Wed, Dec 18, 2019",Philadelphia 76ers,Miami Heat,-325,255,0.4566,0.5434,0,1
"Wed, Dec 18, 2019",Washington Wizards,Chicago Bulls,-117,-103,0.8305,0.1695,0,1
"Wed, Dec 18, 2019",Minnesota Timberwolves,New Orleans Pelicans,-260,220,0.4278,0.5722,0,1
"Wed, Dec 18, 2019",Oklahoma City Thunder,Memphis Grizzlies,-275,225,0.5678,0.4322,1,0
"Wed, Dec 18, 2019",Denver Nuggets,Orlando Magic,-500,380,0.5286,0.4714,1,0
"Wed, Dec 18, 2019",Dallas Mavericks,Boston Celtics,110,-130,0.7015,0.2985,0,1
"Wed, Dec 18, 2019",Portland Trail Blazers,Golden State Warriors,-465,365,0.7105,0.2895,1,0
"Thu, Dec 19, 2019",Atlanta Hawks,Utah Jazz,225,-265,0.5823,0.4177,0,1
"Thu, Dec 19, 2019",Milwaukee Bucks,Los Angeles Lakers,-183,163,0.7275,0.2725,1,0
"Thu, Dec 19, 2019",San Antonio Spurs,Brooklyn Nets,-171,151,0.5227,0.4773,1,0
"Thu, Dec 19, 2019",Los Angeles Clippers,Houston Rockets,-205,175,0.3549,0.6451,0,1
"Fri, Dec 20, 2019",Cleveland Cavaliers,Memphis Grizzlies,112,-132,0.3623,0.6377,1,0
"Fri, Dec 20, 2019",Indiana Pacers,Sacramento Kings,-205,175,0.5432,0.4568,1,0
"Fri, Dec 20, 2019",Boston Celtics,Detroit Pistons,-475,375,0.626,0.374,1,0
"Fri, Dec 20, 2019",Toronto Raptors,Washington Wizards,-250,210,0.3962,0.6038,1,0
"Fri, Dec 20, 2019",Miami Heat,New York Knicks,-500,380,0.7768,0.2232,1,0
"Fri, Dec 20, 2019",Oklahoma City Thunder,Phoenix Suns,-190,165,0.4905,0.5095,1,0
"Fri, Dec 20, 2019",Philadelphia 76ers,Dallas Mavericks,-405,320,0.1819,0.8181,0,1
"Fri, Dec 20, 2019",Denver Nuggets,Minnesota Timberwolves,-600,440,0.105,0.895,1,0
"Fri, Dec 20, 2019",Portland Trail Blazers,Orlando Magic,-165,145,0.7878,0.2122,1,0
"Fri, Dec 20, 2019",Golden State Warriors,New Orleans Pelicans,100,-120,0.3271,0.6729,1,0
"Sat, Dec 21, 2019",Charlotte Hornets,Utah Jazz,230,-280,0.6423,0.3577,0,1
"Sat, Dec 21, 2019",Brooklyn Nets,Atlanta Hawks,-330,260,0.3558,0.6442,1,0
"Sat, Dec 21, 2019",Detroit Pistons,Chicago Bulls,-122,102,0.5932,0.4068,0,1
"Sat, Dec 21, 2019",Philadelphia 76ers,Washington Wizards,-1000,650,0.2028,0.7972,1,0
"Sat, Dec 21, 2019",New York Knicks,Milwaukee Bucks,700,-1100,0.2198,0.7802,0,1
"Sat, Dec 21, 2019",Memphis Grizzlies,Sacramento Kings,100,-120,0.7379,0.2621,1,0
"Sat, Dec 21, 2019",San Antonio Spurs,Los Angeles Clippers,240,-300,0.503,0.497,0,1
"Sat, Dec 21, 2019",Phoenix Suns,Houston Rockets,315,-400,0.425,0.575,0,1
"Sat, Dec 21, 2019",Portland Trail Blazers,Minnesota Timberwolves,-250,210,0.412,0.588,1,0
"Sun, Dec 22, 2019",Toronto Raptors,Dallas Mavericks,-130,110,0.4346,0.5654,,
"Sun, Dec 22, 2019",Boston Celtics,Charlotte Hornets,-1150,725,0.7317,0.2683,,
"Sun, Dec 22, 2019",Milwaukee Bucks,Indiana Pacers,-350,275,0.8208,0.1792,,
"Sun, Dec 22, 2019",Oklahoma City Thunder,Los Angeles Clippers,100,-120,0.4662,0.5338,,
"Sun, Dec 22, 2019",Los Angeles Lakers,Denver Nuggets,-160,140,0.6378,0.3622,,
